,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
0,Omaha, Nebraska,#MWGA,Sat Jun 13 16:52:52 +0000 2020,41.2628,-96.0498,#21897e,1304.0,827786.0,3
1,Omaha, NE,#MWGA,Sat Jun 13 13:15:51 +0000 2020,41.2628,-96.0498,#21897e,1304.0,827786.0,3
3,Omaha, NE,#MWGA,Sat Jun 13 12:45:10 +0000 2020,41.2628,-96.0498,#21897e,1304.0,827786.0,3
5,California, USA,#onlyfans,Sat Jun 13 23:59:50 +0000 2020,36.924938936877076,-120.18747089700997,#3ba99c,956.9958139534883,39607.22724252492,1
9,New Egypt, NJ,#onlyfans,Sat Jun 13 23:59:10 +0000 2020,40.0644,-74.5284,#3ba99c,235.0,2421.0,1
10,New York, New York,#onlyfans,Sat Jun 13 23:58:33 +0000 2020,40.6943,-73.9249,#3ba99c,11083.0,19354922.0,1
13,North Carolina, USA,#onlyfans,Sat Jun 13 23:57:21 +0000 2020,35.439809510869566,-79.32081358695652,#3ba99c,296.32065217391306,12504.385869565218,2
17,North Carolina, USA,#onlyfans,Sat Jun 13 23:57:04 +0000 2020,35.439809510869566,-79.32081358695652,#3ba99c,296.32065217391306,12504.385869565218,2
18,Kentucky, USA,#onlyfans,Sat Jun 13 23:57:03 +0000 2020,37.77555102420857,-85.40921098696461,#3ba99c,543.3631284916202,6122.7597765363125,1
20,Storrs, CT,#onlyfans,Sat Jun 13 23:56:21 +0000 2020,41.8045,-72.2552,#3ba99c,1110.0,16077.0,1
21,Arizona, USA,#onlyfans,Sat Jun 13 23:56:14 +0000 2020,33.872523318385646,-111.58644260089687,#3ba99c,204.72869955156952,21483.224215246635,1
24,Las Vegas, NV,#onlyfans,Sat Jun 13 23:54:39 +0000 2020,36.2333,-115.2654,#3ba99c,1747.0,2073045.0,1
35,Los Angeles, CA,Feminazi,Sat Jun 13 23:37:11 +0000 2020,34.1139,-118.4068,#69d1c5,3295.0,12815475.0,1
46,Ohio, USA,#Feminism,Sat Jun 13 23:51:36 +0000 2020,40.35181636212625,-82.80448712624585,#7ebce6,549.1569767441861,11432.45265780731,1
47,Texas, USA,#Feminism,Sat Jun 13 23:50:12 +0000 2020,30.65436949941793,-97.80444208381839,#7ebce6,467.07974388824215,19220.278230500582,2
51,Atlanta, GA,#Feminism,Sat Jun 13 23:24:07 +0000 2020,33.7627,-84.4225,#7ebce6,1384.0,5228750.0,1
55,Federal Way, WA,#Feminism,Sat Jun 13 22:16:19 +0000 2020,47.309,-122.3359,#7ebce6,1679.0,96690.0,1
61,Oakland, California,#Feminism,Sat Jun 13 21:49:33 +0000 2020,37.7903,-122.2165,#7ebce6,2937.0,425195.0,1
62,Texas, USA,#Feminism,Sat Jun 13 21:44:22 +0000 2020,30.65436949941793,-97.80444208381839,#7ebce6,467.07974388824215,19220.278230500582,2
64,Chula Vista, CA,#Feminism,Sat Jun 13 21:26:28 +0000 2020,32.6281,-117.0145,#7ebce6,2104.0,270471.0,1
66,Washington, DC,#Feminism,Sat Jun 13 21:22:22 +0000 2020,38.9047,-77.0163,#7ebce6,4382.0,5289420.0,1
67,Denver, CO,#Feminism,Sat Jun 13 21:22:00 +0000 2020,39.7621,-104.8759,#7ebce6,1774.0,2787266.0,1
74,Los Angeles, CA,#Feminism,Sat Jun 13 20:40:20 +0000 2020,34.1139,-118.4068,#7ebce6,3295.0,12815475.0,1
75,Charleston, SC,#Feminism,Sat Jun 13 20:40:07 +0000 2020,32.8151,-79.963,#7ebce6,470.0,616085.0,1
76,Colorado, USA,#Equality,Sat Jun 13 16:08:35 +0000 2020,39.18856197802197,-105.29543868131867,#8980f5,446.1802197802198,16481.65274725275,2
77,Pensacola, FL,#Equality,Sat Jun 13 13:55:37 +0000 2020,30.4427,-87.1886,#8980f5,897.0,344400.0,1
78,Dayton, Ohio,#Equality,Sat Jun 13 23:59:51 +0000 2020,39.7797,-84.1998,#8980f5,978.0,718169.0,1
79,Salt Lake City, UT,#Equality,Sat Jun 13 23:59:49 +0000 2020,40.7774,-111.93,#8980f5,696.0,1098400.0,1
80,Nashua, NH,#Equality,Sat Jun 13 23:58:52 +0000 2020,42.7491,-71.491,#8980f5,1106.0,231262.0,1
82,South Carolina, USA,#Equality,Sat Jun 13 23:53:58 +0000 2020,34.02741446700507,-81.11013807106599,#8980f5,310.6446700507614,11497.964467005077,1
83,California, USA,#Equality,Sat Jun 13 23:53:05 +0000 2020,36.924938936877076,-120.18747089700997,#8980f5,956.9958139534883,39607.22724252492,1
84,Portland, OR,#Equality,Sat Jun 13 23:52:19 +0000 2020,45.5371,-122.65,#8980f5,1874.0,2052796.0,1
85,Susanville, CA,#Equality,Sat Jun 13 23:51:57 +0000 2020,40.4205,-120.6129,#8980f5,744.0,8783.0,1
87,Edgefield, SC,#Equality,Sat Jun 13 23:51:24 +0000 2020,33.7871,-81.9292,#8980f5,437.0,4566.0,1
