Index,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
1,Dallas, TX,#MWGA,Fri Jun 19 19:02:19 +0000 2020,32.7936,-96.7662,#21897e,1524.0,5733259.0,1
2,Miami, FL,#MWGA,Mon Jun 15 22:12:44 +0000 2020,25.7839,-80.2102,#21897e,4969.0,6381966.0,1
3,Washington, USA,#MWGA,Sun Jun 14 16:16:23 +0000 2020,47.344806451612904,-121.38152080645162,#21897e,521.5129032258064,16346.754838709678,1
5,Omaha, Nebraska,#MWGA,Sat Jun 13 16:52:52 +0000 2020,41.2628,-96.0498,#21897e,1304.0,827786.0,3
6,Omaha, NE,#MWGA,Sat Jun 13 13:15:51 +0000 2020,41.2628,-96.0498,#21897e,1304.0,827786.0,3
8,Omaha, NE,#MWGA,Sat Jun 13 12:45:10 +0000 2020,41.2628,-96.0498,#21897e,1304.0,827786.0,3
11,Ohio, USA,#onlyfans,Sun Jun 21 12:13:48 +0000 2020,40.35181636212625,-82.80448712624585,#3ba99c,549.1569767441861,11432.45265780731,1
13,Fort Lauderdale, FL,#onlyfans,Sun Jun 21 12:13:05 +0000 2020,26.1412,-80.1464,#3ba99c,2010.0,180072.0,1
18,Raleigh, NC,#onlyfans,Sun Jun 21 12:12:04 +0000 2020,35.8324,-78.6438,#3ba99c,1235.0,1018336.0,1
20,Atlanta, GA,#onlyfans,Sun Jun 21 12:11:47 +0000 2020,33.7627,-84.4225,#3ba99c,1384.0,5228750.0,1
25,Goodwin,SD,#onlyfans,Sun Jun 21 12:10:49 +0000 2020,44.8775,-96.8497,#3ba99c,118.0,145.0,1
27,Los Angeles, CA,#onlyfans,Sun Jun 21 12:10:41 +0000 2020,34.1139,-118.4068,#3ba99c,3295.0,12815475.0,1
33,Katy, TX,Feminazi,Sun Jun 21 12:04:20 +0000 2020,29.7905,-95.8353,#69d1c5,485.0,18282.0,1
38,Mountain View, CA,Feminazi,Sun Jun 21 11:40:51 +0000 2020,37.4,-122.0796,#69d1c5,2622.0,81438.0,1
56,Philadelphia, PA,#Feminism,Sun Jun 21 12:01:38 +0000 2020,40.0077,-75.1339,#7ebce6,4547.0,5637884.0,1
64,Portland, ME,#Feminism,Sun Jun 21 11:22:42 +0000 2020,43.6773,-70.2715,#7ebce6,1197.0,206023.0,1
80,Pensacola, FL,#Equality,Sat Jun 20 14:27:51 +0000 2020,30.4427,-87.1886,#8980f5,897.0,344400.0,1
82,Chicago, Illinois,#Equality,Sun Jun 21 12:13:16 +0000 2020,41.8373,-87.6862,#8980f5,4612.0,8675982.0,1
83,New York, Miami,#Equality,Sun Jun 21 12:12:25 +0000 2020,42.11192215013902,-75.02628554216868,#8980f5,970.2613531047266,35076.80815569972,1
89,Nevada, USA,#Equality,Sun Jun 21 12:06:09 +0000 2020,38.783906106870226,-117.30850076335878,#8980f5,249.95419847328245,33847.93893129771,1
91,New Orleans, LA,#Equality,Sun Jun 21 12:05:07 +0000 2020,30.0687,-89.9288,#8980f5,896.0,1029123.0,1
94,Miami Beach, FL,#Equality,Sun Jun 21 12:03:43 +0000 2020,25.8171,-80.1396,#8980f5,4633.0,92307.0,1
97,Petersburg, VA,#Equality,Sun Jun 21 12:03:00 +0000 2020,37.2043,-77.3913,#8980f5,539.0,31750.0,1
99,Mississippi, USA,#Equality,Sun Jun 21 11:59:10 +0000 2020,32.897958448753464,-89.6104265927978,#8980f5,238.14681440443212,5752.02216066482,1
103,Washington, DC,#Equality,Sun Jun 21 11:50:16 +0000 2020,38.9047,-77.0163,#8980f5,4382.0,5289420.0,1
