,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
4,Colorado, USA,#onlyfans,Sat Jun 20 23:59:14 +0000 2020,39.18856197802197,-105.29543868131867,#3ba99c,446.1802197802198,16481.65274725275,1
6,Florida, USA,#onlyfans,Sat Jun 20 23:59:13 +0000 2020,28.1400878021978,-82.12263065934067,#3ba99c,927.0826373626373,33241.92747252747,1
10,Ohio, USA,#onlyfans,Sat Jun 20 23:58:29 +0000 2020,40.35181636212625,-82.80448712624585,#3ba99c,549.1569767441861,11432.45265780731,1
13,Las Vegas, NV,#onlyfans,Sat Jun 20 23:58:14 +0000 2020,36.2333,-115.2654,#3ba99c,1747.0,2073045.0,1
15,California, USA,#onlyfans,Sat Jun 20 23:57:18 +0000 2020,36.924938936877076,-120.18747089700997,#3ba99c,956.9958139534883,39607.22724252492,1
24,New York, USA,Feminazi,Sat Jun 20 23:45:17 +0000 2020,42.11192215013902,-75.02628554216868,#69d1c5,970.2613531047266,35076.80815569972,2
28,New York, NY,Feminazi,Sat Jun 20 23:32:46 +0000 2020,40.6943,-73.9249,#69d1c5,11083.0,19354922.0,2
34,Nevada, USA,Feminazi,Sat Jun 20 23:01:16 +0000 2020,38.783906106870226,-117.30850076335878,#69d1c5,249.95419847328245,33847.93893129771,1
47,Oakland, CA,#Feminism,Sat Jun 20 23:33:07 +0000 2020,37.7903,-122.2165,#7ebce6,2937.0,425195.0,1
50,Orlando, FL,#Feminism,Sat Jun 20 22:49:39 +0000 2020,28.4772,-81.3369,#7ebce6,982.0,1776841.0,1
53,Brooklyn, New York,#Feminism,Sat Jun 20 22:45:52 +0000 2020,40.6501,-73.9496,#7ebce6,14606.0,2629150.0,1
56,Maryland, USA,#Feminism,Sat Jun 20 22:33:25 +0000 2020,39.096691245136185,-76.99463501945526,#7ebce6,843.964980544747,13387.101167315175,1
57,California, USA,#Feminism,Sat Jun 20 22:30:14 +0000 2020,36.924938936877076,-120.18747089700997,#7ebce6,956.9958139534883,39607.22724252492,1
60,Los Angeles, CA,#Feminism,Sat Jun 20 22:18:21 +0000 2020,34.1139,-118.4068,#7ebce6,3295.0,12815475.0,2
61,Los Angeles, CA,#Feminism,Sat Jun 20 22:17:09 +0000 2020,34.1139,-118.4068,#7ebce6,3295.0,12815475.0,2
63,Texas, U.S.,#Feminism,Sat Jun 20 21:56:13 +0000 2020,30.65436949941793,-97.80444208381839,#7ebce6,467.07974388824215,19220.278230500582,1
68,Pensacola, FL,#Equality,Sat Jun 20 14:27:51 +0000 2020,30.4427,-87.1886,#8980f5,897.0,344400.0,1
72,Seat Pleasant, Maryland,#Equality,Sat Jun 20 23:53:47 +0000 2020,38.8952,-76.9016,#8980f5,2509.0,4823.0,1
75,Los Angeles, CA,#Equality,Sat Jun 20 23:47:37 +0000 2020,34.1139,-118.4068,#8980f5,3295.0,12815475.0,2
76,Phoenix, Arizona,#Equality,Sat Jun 20 23:41:03 +0000 2020,33.5722,-112.0891,#8980f5,1212.0,4081849.0,1
77,Chicago, IL,#Equality,Sat Jun 20 23:40:28 +0000 2020,41.8373,-87.6862,#8980f5,4612.0,8675982.0,1
79,San Jose, CA,#Equality,Sat Jun 20 23:38:30 +0000 2020,37.3021,-121.8489,#8980f5,2257.0,1821899.0,1
80,Utah, USA,#Equality,Sat Jun 20 23:37:45 +0000 2020,39.8694475308642,-111.74183148148148,#8980f5,364.6358024691358,14984.160493827161,1
81,Los Angeles, California,#Equality,Sat Jun 20 23:37:34 +0000 2020,34.1139,-118.4068,#8980f5,3295.0,12815475.0,2
82,Upper Arlington, Ohio,#Equality,Sat Jun 20 23:34:28 +0000 2020,40.0272,-83.0704,#8980f5,1393.0,35337.0,1
86,West Monroe, MI,#Equality,Sat Jun 20 23:27:09 +0000 2020,41.9143,-83.4317,#8980f5,1058.0,3397.0,1
87,Florida, USA,#Equality,Sat Jun 20 23:24:14 +0000 2020,28.1400878021978,-82.12263065934067,#8980f5,927.0826373626373,33241.92747252747,1
91,Greenville, SC,#Equality,Sat Jun 20 23:13:15 +0000 2020,34.8362,-82.3649,#8980f5,902.0,467894.0,1
94,Atlanta, GA,#Equality,Sat Jun 20 23:12:08 +0000 2020,33.7627,-84.4225,#8980f5,1384.0,5228750.0,1
96,New York, NY,#Equality,Sat Jun 20 23:10:04 +0000 2020,40.6943,-73.9249,#8980f5,11083.0,19354922.0,1
97,Walled Lake, MI,#Equality,Sat Jun 20 23:03:31 +0000 2020,42.538,-83.4786,#8980f5,1251.0,7156.0,1
98,Colorado, USA,#Equality,Sat Jun 20 23:02:33 +0000 2020,39.18856197802197,-105.29543868131867,#8980f5,446.1802197802198,16481.65274725275,1
101,Hampton, VA,#Equality,Sat Jun 20 22:58:13 +0000 2020,37.0551,-76.3629,#8980f5,1011.0,134669.0,1
102,Cottondale, AL,#Equality,Sat Jun 20 22:55:52 +0000 2020,33.1922,-87.4544,#8980f5,418.0,3746.0,1
103,Lake Charles, LA,#Equality,Sat Jun 20 22:55:06 +0000 2020,30.2022,-93.2141,#8980f5,688.0,153633.0,1
104,Pittsburgh, PA,#Equality,Sat Jun 20 22:50:54 +0000 2020,40.4396,-79.9763,#8980f5,2108.0,1715297.0,1
107,New York, USA,#BLM,Sat Jun 20 15:40:21 +0000 2020,42.11192215013902,-75.02628554216868,#1e212b,970.2613531047266,35076.80815569972,2
108,Miami, FL,#BLM,Sat Jun 20 13:33:42 +0000 2020,25.7839,-80.2102,#1e212b,4969.0,6381966.0,1
