City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
Texas, USA,#AbortionIsRacist,Fri Jun 19 00:34:23 +0000 2020,30.6543695,-97.80444208,#fffac8,467.0797439,19220.27823,1
Texas, USA,#AbortionIsRacist,Fri Jun 19 00:34:23 +0000 2020,30.6543695,-97.80444208,#fffac8,467.0797439,19220.27823,3
Oak Harbor, WA,#AbortionIsRacist,Fri Jun 19 00:35:39 +0000 2020,48.2965,-122.6331,#fffac8,930,34663,1
Oak Harbor, WA,#AbortionIsRacist,Fri Jun 19 00:35:39 +0000 2020,48.2965,-122.6331,#fffac8,930,34663,1
Phoenix, AZ,#BlueLivesMurder,Fri Jun 19 00:37:18 +0000 2020,33.5722,-112.0891,#dbcbd8,1212,4081849,1
Alaska, USA,#AbortionIsRacist,Fri Jun 19 00:42:00 +0000 2020,61.43625807,-150.8333419,#fffac8,38.64022663,1971.07932,1
Alaska, USA,#AbortionIsRacist,Fri Jun 19 00:42:00 +0000 2020,61.43625807,-150.8333419,#fffac8,38.64022663,1971.07932,1
Ashwaubenon, WI,#blackconservative,Fri Jun 19 01:12:32 +0000 2020,44.4796,-88.0889,#fabed4,539,17271,1
Los Angeles, CA,#BlueLivesMurder,Fri Jun 19 01:18:57 +0000 2020,34.1139,-118.4068,#dbcbd8,3295,12815475,1
Houston, TX,#BlueLivesMurder,Fri Jun 19 01:45:59 +0000 2020,29.7869,-95.3905,#dbcbd8,1401,5446468,1
Florida, USA,#blackconservative,Fri Jun 19 01:59:26 +0000 2020,28.1400878,-82.12263066,#fabed4,927.0826374,33241.92747,1
New Jersey, USA,#blackconservative,Fri Jun 19 02:31:12 +0000 2020,40.32016673,-74.52402218,#fabed4,1469.239006,10892.99809,2
New Jersey, USA,#blackconservative,Fri Jun 19 02:33:05 +0000 2020,40.32016673,-74.52402218,#fabed4,1469.239006,10892.99809,2
Massachusetts, USA,#DisarmthePolice,Fri Jun 19 02:51:08 +0000 2020,42.08924752,-71.18091206,#562c2c,1008.886525,63636.99291,1
Massachusetts, USA,#DisarmthePolice,Fri Jun 19 02:51:08 +0000 2020,42.08924752,-71.18091206,#562c2c,1008.886525,63636.99291,1
